ID_klienta;klient;miejscowosc
E1007;Szkola Podstawowa 92;Legionowo
E1012;Szkola Podstawowa 31;Siedlce
E1014;Technikum 26;Poraj
E1019;Szkola Wyzsza;Kartuzy
E1020;Liceum Xxxii;Oborniki
E1021;Szkola Podstawowa 112;Sandomierz
E1030;Szkola Podstawowa 4;Siemiatycze
E1031;Szkola Podstawowa 2;Leszno
E1052;Szkola Podstawowa 100;Borkowo
E1053;Liceum VIII;Poznan
E1056;Szkola Wyzsza;Leszno
E1072;Szkola Podstawowa 126;Sosnowiec
E1073;Szkola Podstawowa 16;Leszno
E1074;Szkola Podstawowa 93;Wysokie
E1088;Szkola Podstawowa 54;Warszawa
E1091;Szkola Podstawowa 145;Leszno
E1095;Szkola Podstawowa 146;Warszawa
E1096;Liceum I;Koronowo
E1097;Szkola Podstawowa 72;Piaski
E1100;Szkola Wyzsza;Nowa
E1102;Szkola Podstawowa 49;Legionowo
E1107;Szkola Podstawowa 29;Boryszew
E1116;Szkola Wyzsza;Sosnowiec
E1117;Technikum 30;Wronki
E1124;Szkola Podstawowa 4;Gryfice
E1127;Technikum 21;Pobierowo
E1136;Szkola Podstawowa 144;Legionowo
E1150;Szkola Podstawowa 124;Borowe
E1155;Szkola Podstawowa 28;Pisz
E1161;Szkola Podstawowa 66;Warszawa
E1168;Szkola Podstawowa 92;Konin
E1191;Szkola Podstawowa 47;Borze
E1199;Liceum XII;Zawichost
E1209;Szkola Podstawowa 139;Dukla
E1221;Szkola Podstawowa 111;Opole
E1228;Technikum 34;Konin
E1234;Liceum XXX;Bogdanowo
E1245;Szkola Podstawowa 50;Warszawa
E1249;Szkola Wyzsza;Ruda
E1258;Szkola Podstawowa 50;Brusy
E1262;Szkola Podstawowa 38;Zielona
E1267;Szkola Podstawowa 71;Sieradz
E1270;Szkola Podstawowa 40;Jaworzno
E1277;Szkola Podstawowa 31;Podlesie
E1287;Szkola Podstawowa 133;Bobry
E1290;Szkola Podstawowa 104;Opole
E1291;Szkola Podstawowa 149;Gniezno
E1298;Szkola Wyzsza;Nowa
E1303;Szkola Wyzsza;Ruda
E1306;Szkola Podstawowa 119;Katowice
E1307;Technikum 48;Kalisz
E1309;Technikum 31;Czersk
E1310;Technikum 50;Suchorze
E1313;Technikum 14;Barlinek
